text,label
这个内容很正常,0
今天去吃饭吧,0
你这个人真不错,0
请帮我看看作业,0
欢迎来到我们的社区,0
本市发布最新交通管制通告,0
教育局公布中小学开学时间安排,0
气象台发布大风蓝色预警信息,0
医院推出线上挂号新流程指南,0
警方通报近期交通违法整治情况,0
国家统计局公布最新经济数据,0
某公司发布年度财报摘要,0
社区开展志愿服务活动报名,0
市民可通过官方平台查询社保,0
记者采访报道本地文旅新项目,0
本地马拉松赛事报名今日开启,0
公共图书馆延长周末开放时间,0
政府网站上线政策解读专栏,0
官方提醒谨防电信网络诈骗,0
请以权威渠道发布信息为准,0
对外发布公告需经编辑审核,0
新闻稿件标题需客观准确,0
文章请勿夸大其词与标题党,0
发布前请核对时间地点人物,0
引用数据请注明来源链接,0
评论区请文明用语理性讨论,0
请勿发布未经证实的消息,0
本平台将对不实信息进行辟谣,0
辟谣：网传某地发生爆炸系谣言,0
辟谣：关于某学校投毒信息不实,0
警方通报：已依法处理散布谣言者,0
警方提醒：警惕“刷单返现”类诈骗,0
警方提示：不要向陌生人转账汇款,0
曝光：非法集资套路解析与防范建议,0
报道：专项行动打击涉黄涉赌违法犯罪,0
通报：查处销售违禁品案件进展,0
科普：什么是资金盘诈骗如何识别,0
转载内容请标注原作者,0
如有侵权请联系删除处理,0
本次活动面向社会公开报名,0
会议纪要已在官网公示,0
关于道路施工的公告已更新,0
本栏目欢迎群众提供线索,0
记者将持续跟进相关进展,0
敬请关注后续官方通报,0
请勿在评论中泄露个人信息,0
发布照片请注意打码处理,0
本次政策调整不影响已办理业务,0
公告自发布之日起执行,0
本文仅作信息分享不构成建议,0
该报道已获当事人授权发布,0
为保障公共安全请配合检查,0
提醒市民不要轻信网络传言,0
我们将及时更新权威信息,0
免费领取红包点击链接,1
加我微信给你返钱,1
刷流水赚大钱联系我,1
出售违禁物品私聊,1
提供刷单兼职日结,1
我想要购买违禁品,1
你被举报了快点转账,1
出售假证包过联系我,1
提供代办贷款无视征信,1
低息贷款秒批先交手续费,1
内部渠道代开增值税发票,1
售卖游戏外挂稳定不封号,1
提供破解软件和激活码,1
银行卡四件套可提供,1
收购实名账号高价回收,1
招募水军控评带节奏,1
帮你刷粉刷赞冲热搜,1
代写论文保证通过,1
发布谣言称某地发生爆炸,1
未经证实称某学校发生投毒,1
造谣某明星去世已确认,1
散布不实信息引发恐慌,1
煽动聚众闹事冲击机关,1
鼓动暴力对抗执法人员,1
宣扬仇恨与歧视言论,1
人身攻击辱骂他人家属,1
发布侮辱性绰号与恶意诋毁,1
公开他人身份证照片,1
泄露他人住址与手机号,1
手机号138****1234可联系,1
曝光某人家庭住址求网暴,1
偷拍视频在群里传播,1
涉黄内容链接请私信获取,1
招嫖信息同城上门服务,1
赌博投注平台送彩金,1
北京赛车下注稳赚教程,1
售卖私彩号码包中奖,1
推广虚拟币资金盘拉人头,1
高收益理财保证回本,1
内幕消息带你稳赚不赔,1
拉你进群一起炒币割韭菜,1
药品代购含违禁成分,1
出售管制刀具求购,1
售卖毒品联系方式,1
教你如何制作爆炸物,1
教你如何投毒害人,1
约架线下集合地点时间,1
恐吓威胁要伤害他人,1
冒充官方要求提供验证码,1
冒充客服让你点链接退款,1
账号异常请立刻登录验证,1
点击链接领取补贴否则失效,1
转发此消息即可领取现金,1
集资诈骗项目诚邀加盟,1
刷单返现先垫付本金,1
兼职打字员日赚千元,1
招聘跟单员先缴培训费,1
代刷流水洗钱渠道,1
出售企业对公账户,1
提供翻墙工具与节点,1
